id,lab_request_id,sample_id,reactor_test
444,296,528,True
445,297,529,True
446,298,393,False
447,298,395,False
448,299,541,True
449,300,542,True
450,301,524,True
451,302,510,True
452,303,513,True
453,304,514,True
454,306,461,True
455,306,462,True
456,306,463,True
457,306,464,True
458,307,433,True
459,307,434,True
460,307,435,True
461,307,436,True
466,308,588,True
467,308,589,True
468,308,586,True
469,309,523,True
470,310,527,True
471,311,515,True
472,312,577,True
473,312,582,True
474,312,576,True
475,312,578,True
476,312,579,True
477,312,580,True
478,312,581,True
479,312,583,True
480,312,584,True
481,312,585,True
482,313,487,True
483,313,488,True
484,313,489,True
485,313,490,True
486,313,491,True
487,313,492,True
488,313,493,True
489,313,494,True
490,314,596,True
491,315,597,True
493,316,591,True
494,317,619,True
495,318,620,True
496,319,620,True
497,320,612,True
498,320,613,True
499,320,614,True
500,320,615,True
501,321,595,True
502,322,616,True
503,322,617,True
504,323,590,True
505,324,607,True
506,325,608,True
507,325,609,True
508,325,610,True
509,325,611,True
510,326,618,True
511,327,592,True
512,328,587,True
513,329,593,True
514,330,626,True
515,330,627,True
516,331,629,True
517,331,630,True
518,331,631,True
519,332,227,True
520,333,465,True
521,333,466,True
522,333,467,True
523,333,468,True
525,334,454,True
526,334,455,True
527,334,453,True
528,335,599,True
529,335,600,True
530,335,601,True
531,335,602,True
532,335,603,True
533,335,604,True
534,336,504,True
536,337,469,True
537,337,470,True
538,338,469,True
539,338,470,True
540,339,624,True
541,339,625,True
542,340,628,True
543,341,605,True
544,341,606,True
545,342,622,True
546,342,623,True
547,343,634,True
548,345,653,True
549,346,654,True
550,347,543,True
551,347,651,True
552,348,655,True
553,349,652,True
554,350,656,True
555,350,657,True
556,350,658,True
557,351,659,True
558,352,660,True
559,353,390,True
560,354,661,True
561,355,598,True
562,356,662,True
563,357,663,True
564,358,391,True
565,358,664,True
566,359,665,True
567,360,666,True
568,360,667,True
569,360,668,True
570,361,669,True
571,362,670,True
572,363,307,True
573,363,308,True
574,364,671,True
575,365,431,True
576,365,530,True
577,367,672,True
578,366,459,True
579,368,673,True
580,368,674,True
581,368,675,True
582,369,676,True
583,370,677,True
584,371,414,True
585,372,678,True
586,373,679,True
587,374,363,True
588,375,342,True
589,376,680,True
590,377,458,True
591,378,682,True
592,379,683,True
593,380,684,True
594,381,685,True
595,382,686,True
596,383,687,True
597,384,688,True
598,385,689,True
599,386,690,True
600,387,691,True
601,388,692,True
602,389,649,True
603,389,650,True
604,390,635,True
605,390,636,True
606,390,637,True
607,390,638,True
608,390,639,True
609,390,640,True
610,391,681,True
611,392,696,True
612,392,697,True
613,393,706,True
614,394,707,True
615,395,437,False
616,396,621,True
617,397,709,True
618,397,710,True
619,398,632,True
620,398,633,True
621,399,645,True
622,400,711,True
623,401,712,True
624,402,713,True
625,403,714,True
626,404,715,True
627,405,716,True
628,406,717,True
629,406,718,True
630,407,719,True
631,407,720,True
632,408,721,True
633,409,722,True
634,410,723,True
635,411,725,True
636,412,726,True
637,413,727,True
638,414,728,True
639,415,729,True
